Citations,Authors,Title,Year,Source,Publisher,Branch,Keywords,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
25,"Gustavo Deco, J M Maidagan, R D Rivarola",Electron capture by proton and alpha particle impact on helium atoms,1984,Journal of Physics B,,Theoretical Physics,"Proton, Physics, Helium Excited state, Electron capture, Eikonal equation, Bound state, Atomic physics, Atom Alpha particle",http://iopscience.iop.org/0022-3700/17/21/004?v_morerelated_ref=yes,,136,06/05/2020 21:15,Journal article,10.1088/0022-3700/17/21/004,,,17,21,,,25,0.69,8,3,36,"The symmetric eikonal (SE) approximation, recently developed for K-K-shell electron capture in ion-atom collisions at intermediate and high energies, has been extended to charge exchange from 1s to low excited nlm states. Cross sections for capture into selective nl subshells (with n=1,2,3 and l=0,1,2) and into all possible bound states are calculated for the H++He and He2++He systems. Comparisons with experimental results and other theoretical approximations are shown."
9,"R D Rivarola, Gustavo Deco, J M Maidagan",Symmetric eikonal calculations in charge exchange ion-atom collisions at intermediate and high energies,1985,Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms,,Theoretical Physics,"Single electron, Physics, Ion Excited state, Eikonal equation, Charge exchange, Atomic physics, Atom",https://ui.adsabs.harvard.edu/abs/1985NIMPB..10..222R/abstract,,247,06/05/2020 21:15,Journal article,10.1016/0168-583X(85)90239-3,,,10,,222,224,9,0.26,3,3,35,"Abstract The single electron capture in ion-atom collisions at intermediate and high energies has been studied with the symmetric eikonal model, recently developed for K-K shell charge exchange. Calculations are extended for capture from and to excited states and compared with experimental data going from quasi-symmetric to very asymmetric systems, in order to determine the influence of such processes on total cross sections. Comparisons with experimental data are given."
12,"Gustavo Deco, J Hanssen, R D Rivarola",Application of a first-Born-type approximation for 2l-electron capture in ion-atom collisions,1986,Journal of Physics B,,Theoretical Physics,"Proton, Physics, Nuclear physicsIon, Hydrogen, Helium, Electron capture, Atomic physics, Atom",http://iopscience.iop.org/0022-3700/19/18/008?recenthistorytab=viewed,,212,06/05/2020 21:15,Journal article,10.1088/0022-3700/19/18/008,,,19,18,,,12,0.35,4,3,34,"Calculations for electron capture to the nl=2l (l=0,1) states in bare ion-atom collisions are presented using a recently developed first Born-type approximation. The evaluations of total cross sections for proton impact on hydrogen and helium targets are compared with other theoretical and experimental results."
15,"Gustavo Deco, R D Rivarola",Relativistic continuum distorted-wave model for electron capture,1986,Journal of Physics B,,Theoretical Physics,"Wave model, Scattering length, Scattering amplitude, Quantum electrodynamics, Physics, Nuclear cross section, Electron capture, Continuum (design consultancy), Charge exchange, Born approximation, Atomic physics",http://iopscience.iop.org/article/10.1088/0022-3700/19/12/015/pdf,,190,06/05/2020 21:15,Journal article,10.1088/0022-3700/19/12/015,,,19,12,1759,1770,15,0.44,8,2,34,A continuum distorted-wave model has been developed for electron capture in ion-atom collisions at relativistic energies. A first-order scattering amplitude is calculated for K-K shell charge exchange. The differential cross sections agree qualitatively with those found in previous second-order Born calculations at ultra-high impact energies. The asymptotic behaviour of ultra-relativistic total cross sections is identical to that predicted by the second Born approximation.
20,"Gustavo Deco, P D Fainstein, R D Rivarola",Symmetric eikonal approximation for electron excitation in ion-atom collisions,1986,Journal of Physics B,,Theoretical Physics,"Physics, Ion Intermediate energy, Excitation Electron excitation, Electron capture, Eikonal approximation, Atomic physics, Atom Angular distribution",http://cat.inist.fr/?aModele=afficheN&cpsidt=7890350,,162,06/05/2020 21:15,Journal article,10.1088/0022-3700/19/2/010,,,19,2,213,216,20,0.59,7,3,34,The symmetric eikonal approximation recently developed for electron capture is extended to electron excitation in ion-atom collisions. Differential and total cross sections are compared with other theoretical and experimental data for the H++H(1s) to H++H(n=2) system. The angular influence of excitation to the 2s and 2p levels is also analysed.
14,"Gustavo Deco, R D Rivarola",A theoretical model for charge transfer at relativistic energies,1987,Journal of Physics B,,Theoretical Physics,"Spin-½, Projectile, Physics, Electron capture, Electron, Eikonal equation, Continuum (design consultancy), Atomic physics, Analytical expressions",https://ui.adsabs.harvard.edu/abs/1987JPhB...20..317D/abstract,,200,06/05/2020 21:15,Journal article,10.1088/0022-3700/20/2/015,,,20,2,317,324,14,0.42,7,2,33,The symmetric eikonal theory of electron capture by relativistic projectiles is developed. Simple analytical expressions are obtained for K-shell-K-shell charge transfer total cross sections when the spin of the electron flips as well as when it remains unchanged. Comparisons with experimental data and other theoretical relativistic approximations are given. It is also shown that the relativistic symmetric eikonal total cross sections coincide at asymptotically high impact energies with the relativistic second-order Oppenheimer-Brinkman-Kramers and relativistic continuum distorted wave cross sections.
21,"Gustavo Deco, R D Rivarola",Relativistic electron capture in ion-atom collisions,1987,Journal of Physics B,,Theoretical Physics,"Radiative transfer, Projectile, Physics, Photon, Photoelectric effect, Ion, Electron capture, Electron, Atomic physics, Atom",http://iopscience.iop.org/article/10.1088/0022-3700/20/15/029,,155,06/05/2020 21:15,Journal article,10.1088/0022-3700/20/15/029,,,20,15,3853,3865,21,0.64,11,2,33,A relativistic matrix continuum distorted-wave model is introduced. A first-order scattering amplitude is calculated for K-shell-K-shell charge exchange. Differential cross sections are given for the cases without and with spin flip using different theoretical approximations. Comparison with experimental data and other theoretical relativistic approximations for total cross sections are presented.
34,"A E Martinez, Gustavo Deco, R D Rivarola, P D Fainstein",K-Shell vacancy production in asymmetric collisions,1988,Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms,,Theoretical Physics,"Vacancy defectIon, Electron shell, Electron ionization, Electron capture, Continuum (design consultancy), Chemistry, Atomic physics",https://www.sciencedirect.com/science/article/pii/0168583X88903606,,107,06/05/2020 21:15,Journal article,10.1016/0168-583X(88)90360-6,,,34,1,32,36,34,1.06,9,4,32,Abstract The Continuum Distorted Wave-Eikonal Initial State approximation is introduced to describe electron capture in ion-atom collisions. The model had been previously studied to represent electron ionization. Theoretical total cross sections for both processes are compared with experimental data for impact of light bare ions on heavier targets.
2,"Gustavo Deco, R D Rivarola",Two-center effects in relativistic radiative electron capture.,1989,Physical Review A,,Theoretical Physics,"Spontaneous emission, Recombination, Radiative transfer, Projectile, Physics, Nuclear physics, Ion, Excitation, Electron capture, Electron, Atomic physics",http://www.ncbi.nlm.nih.gov/pubmed/9901118,,369,06/05/2020 21:15,Journal article,10.1103/PHYSREVA.39.5451,,,39,10,5451,5454,2,0.06,1,2,31,Radiative electron capture in relativistic ion-atom collisions is studied by describing the ''active'' electron in the combined field of the target and projectile. This two-center effect introduces important changes in the radiative recombination process at very high impact velocities. Estimations are given for the parameters of interest to planned measurements of electron capture from the vacuum.
3,"Gustavo Deco, N Grun",Capture from the vacuum in ion-ion collisions at relativistic energies,1989,Journal of Physics B,,Theoretical Physics,"Scattering cross-section, Physics, Nuclear physics, Ion, Heavy ion, Electron capture, Electron, Bound state, Born approximation, Atomic physics, Angular distribution",http://cat.inist.fr/?aModele=afficheN&cpsidt=6642288,,334,06/05/2020 21:15,Journal article,10.1088/0953-4075/22/22/018,,,22,22,3709,3716,3,0.1,2,2,31,In this paper the authors formulate a distorted-wave model for the production of e+-e- pairs with the simultaneous capture of the created electron into a bound state of the target ion in ion-ion collisions at relativistic energies. Differential and total cross sections are calculated for the experiments proposed and compared with the model of the first Born approximation.
