Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1102,"G Deco, VK Jirsa, AR McIntosh","Emerging concepts for the dynamical organization of resting-state activity in the brain",2011,"Nature Reviews Neuroscience","nature.com","https://www.nature.com/articles/nrn2961","https://scholar.google.com/scholar?cites=17351616513338338197&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-04-30 13:05:27","","","","",,,,,1102,122.44,367,3,9,"A broad body of experimental work has demonstrated that apparently spontaneous brain activity is not random. At the level of large-scale neural systems, as measured with functional MRI (fMRI), this ongoing activity reflects the organization of a series of highly coherent …"
779,"G Deco, VK Jirsa, PA Robinson…","The dynamic brain: from spiking neurons to neural masses and cortical fields",2008,"PLoS computational …","journals.plos.org","https://journals.plos.org/ploscompbiol/article/file?type=printable&id=10.1371/journal.pcbi.1000092","https://scholar.google.com/scholar?cites=10905534478785200374&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-04-30 13:05:27","PDF","","","",,,,,779,64.92,195,4,12,"The cortex is a complex system, characterized by its dynamics and architecture, which underlie many functions such as action, perception, learning, language, and cognition. Its structural architecture has been studied for more than a hundred years; however, its …"
658,"G Deco, ET Rolls","Computational neuroscience of vision",2007,"","library.mpib-berlin.mpg.de","http://library.mpib-berlin.mpg.de/toc/z2007_810.pdf","https://scholar.google.com/scholar?cites=1617577885955254583&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-04-30 13:05:27","BOOK","","","",,,,,658,50.62,329,2,13,"1.3 Neurons in a network 2 1.4 Synaptic modification 4 1.5 Long-Term Potentiation and Long-Term Depression 7 1.6 Distributed representations 11 1.6. 1 Definitions 11 1.6. 2 Advantages of different types of coding 12 1.7 Neuronal network approaches versus …"
533,"G Deco, V Jirsa, AR McIntosh…","Key role of coupling, delay, and noise in resting brain fluctuations",2009,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/106/25/10302.short","https://scholar.google.com/scholar?cites=3832988264183995162&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-04-30 13:05:27","","","","",,,,,533,48.45,133,4,11,"A growing body of neuroimaging research has documented that, in the absence of an explicit task, the brain shows temporally coherent activity. This so-called “resting state” activity or, more explicitly, the default-mode network, has been associated with …"
432,"G Deco, VK Jirsa","Ongoing cortical activity at rest: criticality, multistability, and ghost attractors",2012,"Journal of Neuroscience","Soc Neuroscience","https://www.jneurosci.org/content/32/10/3366.short","https://scholar.google.com/scholar?cites=10024762264470332845&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-04-30 13:05:27","","","","",,,,,432,54.00,216,2,8,"The ongoing activity of the brain at rest, ie, under no stimulation and in absence of any task, is astonishingly highly structured into spatiotemporal patterns. These spatiotemporal patterns, called resting state networks, display low-frequency characteristics (< 0.1 Hz) …"
389,"G Deco, D Obradovic","An information-theoretic approach to neural computing",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=z4XTBwAAQBAJ&oi=fnd&pg=PA2&dq=%22gustavo+deco%22&ots=TQf6jHBFSP&sig=BeYu-P-NvpdrZ7ABSkBU4UTCI1k","https://scholar.google.com/scholar?cites=2726153679727361864&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-04-30 13:05:27","BOOK","","","",,,,,389,48.63,195,2,8,"Neural networks provide a powerful new technology to model and control nonlinear and complex systems. In this book, the authors present a detailed formulation of neural networks from the information-theoretic viewpoint. They show how this perspective provides new …"
354,"G Deco, ET Rolls","A neurodynamical cortical model of visual attention and invariant object recognition",2004,"Vision research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0042698903006928","https://scholar.google.com/scholar?cites=6062880682907998244&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-04-30 13:05:27","HTML","","","",,,,,354,22.13,177,2,16,"We describe a model of invariant visual object recognition in the brain that incorporates feedback biasing effects of top–down attentional mechanisms on a hierarchically organized set of visual cortical areas with convergent forward connectivity, reciprocal feedback …"
334,"J Cabral, E Hugues, O Sporns, G Deco","Role of local network oscillations in resting-state functional connectivity",2011,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811911003880","https://scholar.google.com/scholar?cites=9896877701428353829&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-04-30 13:05:27","","","","",,,,,334,37.11,84,4,9,"Spatio-temporally organized low-frequency fluctuations (< 0.1 Hz), observed in BOLD fMRI signal during rest, suggest the existence of underlying network dynamics that emerge spontaneously from intrinsic brain processes. Furthermore, significant correlations between …"
304,"ET Rolls, M Loh, G Deco, G Winterer","Computational models of schizophrenia and dopamine modulation in the prefrontal cortex",2008,"Nature Reviews Neuroscience","nature.com","https://www.nature.com/articles/nrn2462","https://scholar.google.com/scholar?cites=11890466011944097202&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-04-30 13:05:27","","","","",,,,,304,25.33,76,4,12,"Computational neuroscience models can be used to understand the diminished stability and noisy neurodynamical behaviour of prefrontal cortex networks in schizophrenia. These neurodynamical properties can be captured by simulated neural networks with randomly …"
291,"G Deco, ET Rolls","Attention, short-term memory, and action selection: a unifying theory",2005,"Progress in neurobiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301008205000912","https://scholar.google.com/scholar?cites=704472336777201486&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-04-30 13:05:27","","","","",,,,,291,19.40,146,2,15,"Cognitive behaviour requires complex context-dependent processing of information that emerges from the links between attentional perceptual processes, working memory and reward-based evaluation of the performed actions. We describe a computational …"
