Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1118,"Gustavo Deco, Viktor K Jirsa, Viktor K Jirsa, Anthony R Mcintosh",Emerging concepts for the dynamical organization of resting-state activity in the brain,2011,Nature Reviews Neuroscience,,https://www.nature.com/articles/nrn2961,,1,06/05/2020 21:15,Journal article,10.1038/NRN2961,,,12,1,43,56,1118,124.22,280,4,9,"A broad body of experimental work has demonstrated that apparently spontaneous brain activity is not random. At the level of large-scale neural systems, as measured with functional MRI (fMRI), this ongoing activity reflects the organization of a series of highly coherent functional networks. These so-called resting-state networks (RSNs) closely relate to the underlying anatomical connectivity but cannot be understood in those terms alone. Here we review three large-scale neural system models of primate neocortex that emphasize the key contributions of local dynamics, signal transmission delays and noise to the emerging RSNs. We propose that the formation and dissolution of resting-state patterns reflects the exploration of possible functional network configurations around a stable anatomical skeleton."
794,"Gustavo Deco, Viktor K Jirsa, P A Robinson, Michael Breakspear, Michael Breakspear, Karl J Friston",The Dynamic Brain: From Spiking Neurons to Neural Masses and Cortical Fields,2008,PLOS Computational Biology,,http://europepmc.org/articles/PMC2519166,,2,06/05/2020 21:15,Journal article,10.1371/JOURNAL.PCBI.1000092,,,4,8,,,794,66.17,132,6,12,"The cortex is a complex system, characterized by its dynamics and architecture, which underlie many functions such as action, perception, learning, language, and cognition. Its structural architecture has been studied for more than a hundred years; however, its dynamics have been addressed much less thoroughly. In this paper, we review and integrate, in a unifying framework, a variety of computational approaches that have been used to characterize the dynamics of the cortex, as evidenced at different levels of measurement. Computational models at different space–time scales help us understand the fundamental mechanisms that underpin neural processes and relate these processes to neuroscience data. Modeling at the single neuron level is necessary because this is the level at which information is exchanged between the computing elements of the brain; the neurons. Mesoscopic models tell us how neural elements interact to yield emergent behavior at the level of microcolumns and cortical columns. Macroscopic models can inform us about whole brain dynamics and interactions between large-scale neural systems such as cortical regions, the thalamus, and brain stem. Each level of description relates uniquely to neuroscience data, from single-unit recordings, through local field potentials to functional magnetic resonance imaging (fMRI), electroencephalogram (EEG), and magnetoencephalogram (MEG). Models of the cortex can establish which types of large-scale neuronal networks can perform computations and characterize their emergent properties. Mean-field and related formulations of dynamics also play an essential and complementary role as forward models that can be inverted given empirical data. This makes dynamic models critical in integrating theory and experiments. We argue that elaborating principled and informed models is a prerequisite for grounding empirical neuroscience in a cogent theoretical framework, commensurate with the achievements in the physical sciences."
539,"Gustavo Deco, Viktor K Jirsa, Anthony R Mcintosh, Olaf Sporns, Rolf Kotter","Key role of coupling, delay, and noise in resting brain fluctuations",2009,Proceedings of the National Academy of Sciences of the United States of America,,http://europepmc.org/articles/PMC2690605,,3,06/05/2020 21:15,Journal article,10.1073/PNAS.0901831106,,,106,25,10302,10307,539,49,108,5,11,"A growing body of neuroimaging research has documented that, in the absence of an explicit task, the brain shows temporally coherent activity. This so-called “resting state” activity or, more explicitly, the default-mode network, has been associated with daydreaming, free association, stream of consciousness, or inner rehearsal in humans, but similar patterns have also been found under anesthesia and in monkeys. Spatiotemporal activity patterns in the default-mode network are both complex and consistent, which raises the question whether they are the expression of an interesting cognitive architecture or the consequence of intrinsic network constraints. In numerical simulation, we studied the dynamics of a simplified cortical network using 38 noise-driven (Wilson–Cowan) oscillators, which in isolation remain just below their oscillatory threshold. Time delay coupling based on lengths and strengths of primate corticocortical pathways leads to the emergence of 2 sets of 40-Hz oscillators. The sets showed synchronization that was anticorrelated at <0.1 Hz across the sets in line with a wide range of recent experimental observations. Systematic variation of conduction velocity, coupling strength, and noise level indicate a high sensitivity of emerging synchrony as well as simulated blood flow blood oxygen level-dependent (BOLD) on the underlying parameter values. Optimal sensitivity was observed around conduction velocities of 1–2 m/s, with very weak coupling between oscillators. An additional finding was that the optimal noise level had a characteristic scale, indicating the presence of stochastic resonance, which allows the network dynamics to respond with high sensitivity to changes in diffuse feedback activity."
437,"Gustavo Deco, Viktor K Jirsa","Ongoing Cortical Activity at Rest: Criticality, Multistability, and Ghost Attractors",2012,The Journal of Neuroscience,,https://repositori.upf.edu/handle/10230/23077,,5,06/05/2020 21:15,Journal article,10.1523/JNEUROSCI.2523-11.2012,,,32,10,3366,3375,437,54.63,219,2,8,"The ongoing activity of the brain at rest, i.e., under no stimulation and in absence of any task, is astonishingly highly structured into spatiotemporal patterns. These spatiotemporal patterns, called resting state networks, display low-frequency characteristics ("
338,"Joana Cabral, Etienne Hugues, Olaf Sporns, Gustavo Deco",Role of local network oscillations in resting-state functional connectivity,2011,NeuroImage,,https://doi.org/10.1016/j.neuroimage.2011.04.010,,6,06/05/2020 21:15,Journal article,10.1016/J.NEUROIMAGE.2011.04.010,,,57,1,130,139,338,37.56,85,4,9,"Spatio-temporally organized low-frequency fluctuations (< 0.1 Hz), observed in BOLD fMRI signal during rest, suggest the existence of underlying network dynamics that emerge spontaneously from intrinsic brain processes. Furthermore, significant correlations between distinct anatomical regions—or functional connectivity (FC)—have led to the identification of several widely distributed resting-state networks (RSNs). This slow dynamics seems to be highly structured by anatomical connectivity but the mechanism behind it and its relationship with neural activity, particularly in the gamma frequency range, remains largely unknown. Indeed, direct measurements of neuronal activity have revealed similar large-scale correlations, particularly in slow power fluctuations of local field potential gamma frequency range oscillations. To address these questions, we investigated neural dynamics in a large-scale model of the human brain's neural activity. A key ingredient of the model was a structural brain network defined by empirically derived long-range brain connectivity together with the corresponding conduction delays. A neural population, assumed to spontaneously oscillate in the gamma frequency range, was placed at each network node. When these oscillatory units are integrated in the network, they behave as weakly coupled oscillators. The time-delayed interaction between nodes is described by the Kuramoto model of phase oscillators, a biologically-based model of coupled oscillatory systems. For a realistic setting of axonal conduction speed, we show that time-delayed network interaction leads to the emergence of slow neural activity fluctuations, whose patterns correlate significantly with the empirically measured FC. The best agreement of the simulated FC with the empirically measured FC is found for a set of parameters where subsets of nodes tend to synchronize although the network is not globally synchronized. Inside such clusters, the simulated BOLD signal between nodes is found to be correlated, instantiating the empirically observed RSNs. Between clusters, patterns of positive and negative correlations are observed, as described in experimental studies. These results are found to be robust with respect to a biologically plausible range of model parameters. In conclusion, our model suggests how resting-state neural activity can originate from the interplay between the local neural dynamics and the large-scale structure of the brain."
292,"Gustavo Deco, Adrian Poncealvarez, Dante Mantini, Dante Mantini, Gian Luca Romani, Patric Hagmann, Patric Hagmann, Maurizzio Corbetta",Resting-State Functional Connectivity Emerges from Structurally and Dynamically Shaped Slow Linear Fluctuations,2013,The Journal of Neuroscience,,http://europepmc.org/articles/PMC3718368,,7,06/05/2020 21:15,Journal article,10.1523/JNEUROSCI.1091-13.2013,,,33,27,11239,11252,292,41.71,37,8,7,"Brain fluctuations at rest are not random but are structured in spatial patterns of correlated activity across different brain areas. The question of how resting-state functional connectivity (FC) emerges from the brain's anatomical connections has motivated several experimental and computational studies to understand structure-function relationships. However, the mechanistic origin of resting state is obscured by large-scale models' complexity, and a close structure-function relation is still an open problem. Thus, a realistic but simple enough description of relevant brain dynamics is needed. Here, we derived a dynamic mean field model that consistently summarizes the realistic dynamics of a detailed spiking and conductance-based synaptic large-scale network, in which connectivity is constrained by diffusion imaging data from human subjects. The dynamic mean field approximates the ensemble dynamics, whose temporal evolution is dominated by the longest time scale of the system. With this reduction, we demonstrated that FC emerges as structured linear fluctuations around a stable low firing activity state close to destabilization. Moreover, the model can be further and crucially simplified into a set of motion equations for statistical moments, providing a direct analytical link between anatomical structure, neural network dynamics, and FC. Our study suggests that FC arises from noise propagation and dynamical slowing down of fluctuations in an anatomically constrained dynamical system. Altogether, the reduction from spiking models to statistical moments presented here provides a new framework to explicitly understand the building up of FC through neuronal dynamics underpinned by anatomical connections and to drive hypotheses in task-evoked studies and for clinical applications."
359,"Gustavo Deco, Edmund T Rolls",A Neurodynamical cortical model of visual attention and invariant object recognition,2004,Vision Research,,http://www.ncbi.nlm.nih.gov/pubmed/14693189,,8,06/05/2020 21:15,Journal article,10.1016/J.VISRES.2003.09.037,,,44,6,621,642,359,22.44,180,2,16,"We describe a model of invariant visual object recognition in the brain that incorporates feedback biasing effects of top–down attentional mechanisms on a hierarchically organized set of visual cortical areas with convergent forward connectivity, reciprocal feedback connections, and local intra-area competition. The model displays space-based and object-based covert visual search by using attentional top–down feedback from either the posterior parietal or the inferior temporal cortex (IT) modules, and interactions between the two processing streams occurring in V1 and V2. The model explains the gradually increasing magnitude of the attentional modulation that is found in fMRI experiments from earlier visual areas (V1, V2) to higher ventral stream visual areas (V4, IT); how the effective size of the receptive fields of IT neurons becomes smaller in natural cluttered scenes; and makes predictions about interactions between stimuli in their receptive fields."
313,"Rikkert Hindriks, Mohit H Adhikari, Yusuke Murayama, Marco Ganzetti, Marco Ganzetti, Dante Mantini, Dante Mantini, N K Logothetis, Gustavo Deco",Can sliding-window correlations reveal dynamic functional connectivity in resting-state fMRI?,2016,NeuroImage,,http://europepmc.org/articles/PMC4758830,,9,06/05/2020 21:15,Journal article,10.1016/J.NEUROIMAGE.2015.11.055,,,127,,242,256,313,78.25,35,9,4,"During the last several years, the focus of research on resting-state functional magnetic resonance imaging (fMRI) has shifted from the analysis of functional connectivity averaged over the duration of scanning sessions to the analysis of changes of functional connectivity within sessions. Although several studies have reported the presence of dynamic functional connectivity (dFC), statistical assessment of the results is not always carried out in a sound way and, in some studies, is even omitted. In this study, we explain why appropriate statistical tests are needed to detect dFC, we describe how they can be carried out and how to assess the performance of dFC measures, and we illustrate the methodology using spontaneous blood-oxygen level-dependent (BOLD) fMRI recordings of macaque monkeys under general anesthesia and in human subjects under resting-state conditions. We mainly focus on sliding-window correlations since these are most widely used in assessing dFC, but also consider a recently proposed non-linear measure. The simulations and methodology, however, are general and can be applied to any measure. The results are twofold. First, through simulations, we show that in typical resting-state sessions of 10 min, it is almost impossible to detect dFC using sliding-window correlations. This prediction is validated by both the macaque and the human data: in none of the individual recording sessions was evidence for dFC found. Second, detection power can be considerably increased by session- or subject-averaging of the measures. In doing so, we found that most of the functional connections are in fact dynamic. With this study, we hope to raise awareness of the statistical pitfalls in the assessment of dFC and how they can be avoided by using appropriate statistical methods."
311,"Edmund T Rolls, Marco Loh, Gustavo Deco, Georg Winterer",Computational models of schizophrenia and dopamine modulation in the prefrontal cortex,2008,Nature Reviews Neuroscience,,http://europepmc.org/abstract/MED/18714326,,10,06/05/2020 21:15,Journal article,10.1038/NRN2462,,,9,9,696,709,311,25.92,78,4,12,"Computational neuroscience models can be used to understand the diminished stability and noisy neurodynamical behaviour of prefrontal cortex networks in schizophrenia. These neurodynamical properties can be captured by simulated neural networks with randomly spiking neurons that introduce noise into the system and produce trial-by-trial variation of postsynaptic potentials. Theoretical and experimental studies have aimed to understand schizophrenia in relation to noise and signal-to-noise ratio, which are promising concepts for understanding the symptoms that characterize this heterogeneous illness. Simulations of biologically realistic neural networks show how the functioning of NMDA (N-methyl-d-aspartate), GABA (g-aminobutyric acid) and dopamine receptors is connected to the concepts of noise and variability, and to related neurophysiological findings and clinical symptoms in schizophrenia."
271,"Enrique C A Hansen, Demian Battaglia, Andreas Spiegler, Gustavo Deco, Viktor K Jirsa",Functional connectivity dynamics: Modeling the switching behavior of the resting state,2015,NeuroImage,,http://pubman.mpdl.mpg.de/pubman/item/escidoc:2247258,,11,06/05/2020 21:15,Journal article,10.1016/J.NEUROIMAGE.2014.11.001,,,105,,525,535,271,54.2,54,5,5,"Abstract Functional connectivity (FC) sheds light on the interactions between different brain regions. Besides basic research, it is clinically relevant for applications in Alzheimer's disease, schizophrenia, presurgical planning, epilepsy, and traumatic brain injury. Simulations of whole-brain mean-field computational models with realistic connectivity determined by tractography studies enable us to reproduce with accuracy aspects of average FC in the resting state. Most computational studies, however, did not address the prominent non-stationarity in resting state FC, which may result in large intra- and inter-subject variability and thus preclude an accurate individual predictability. Here we show that this non-stationarity reveals a rich structure, characterized by rapid transitions switching between a few discrete FC states. We also show that computational models optimized to fit time-averaged FC do not reproduce these spontaneous state transitions and, thus, are not qualitatively superior to simplified linear stochastic models, which account for the effects of structure alone. We then demonstrate that a slight enhancement of the non-linearity of the network nodes is sufficient to broaden the repertoire of possible network behaviors, leading to modes of fluctuations, reminiscent of some of the most frequently observed Resting State Networks. Because of the noise-driven exploration of this repertoire, the dynamics of FC qualitatively change now and display non-stationary switching similar to empirical resting state recordings (Functional Connectivity Dynamics (FCD)). Thus FCD bear promise to serve as a better biomarker of resting state neural activity and of its pathologic alterations."
