Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
2616,"Janine L. Coombes, Karima R.R. Siddiqui, Carolina V. Arancibia-Cárcamo, Jason Hall, Cheng-Ming Sun, Yasmine Belkaid, Fiona Powrie","A functionally specialized population of mucosal CD103+ DCs induces Foxp3+ regulatory T cells via a TGF-beta and retinoic acid-dependent mechanism.",2007,"Journal of Experimental Medicine","The Rockefeller University Press","http://europepmc.org/articles/PMC2118683","",1,"2020-05-13 17:15:34","Journal article","10.1084/JEM.20070590","","",204,8,1757,1764,2616,201.23,374,7,13,"Foxp3+ regulatory T (T reg) cells play a key role in controlling immune pathological re actions. Many develop their regulatory activity in the thymus, but there is also evidence for development of Foxp3+ T reg cells from naive precursors in the periphery. Recent studies have shown that transforming growth factor (TGF)-β can promote T reg cell development in culture, but little is known about the cellular and molecular mechanisms that mediate this pathway under more physiological conditions. Here, we show that after antigen activation in the intestine, naive T cells acquire expression of Foxp3. Moreover, we identify a population of CD103+ mesenteric lymph node dendritic cells (DCs) that induce the devel opment of Foxp3+ T reg cells. Importantly, promotion of T reg cell responses by CD103+ DCs is dependent on TGF-β and the dietary metabolite, retinoic acid (RA). These results newly identify RA as a cofactor in T reg cell generation, providing a mechanism via which functionally specialized gut-associated lymphoid tissue DCs can extend the repertoire of T reg cells focused on the intestine."
2341,"Yasmine Belkaid, Yasmine Belkaid, Ciriaco A. Piccirillo, Susana Mendez, Ethan M. Shevach, David L. Sacks","CD4 + CD25 + regulatory T cells control Leishmania major persistence and immunity",2002,"Nature","Nature Publishing Group","http://www.nature.com/articles/nature01152","",2,"2020-05-13 17:15:34","Journal article","10.1038/NATURE01152","","",420,6915,502,507,2341,130.06,390,6,18,"The long-term persistence of pathogens in a host that is also able to maintain strong resistance to reinfection, referred to as concomitant immunity, is a hallmark of certain infectious diseases, including tuberculosis and leishmaniasis. The ability of pathogens to establish latency in immune individuals often has severe consequences for disease reactivation1,2,3. Here we show that the persistence of Leishmania major in the skin after healing in resistant C57BL/6 mice is controlled by an endogenous population of CD4+CD25+ regulatory T cells. These cells constitute 5–10% of peripheral CD4+ T cells in naive mice and humans, and suppress several potentially pathogenic responses in vivo, particularly T-cell responses directed against self-antigens4. During infection by L. major, CD4+CD25+ T cells accumulate in the dermis, where they suppress—by both interleukin-10-dependent and interleukin-10-independent mechanisms—the ability of CD4+CD25- effector T cells to eliminate the parasite from the site. The sterilizing immunity achieved in mice with impaired IL-10 activity is followed by the loss of immunity to reinfection, indicating that the equilibrium established between effector and regulatory T cells in sites of chronic infection might reflect both parasite and host survival strategies."
1891,"Cheng-Ming Sun, Jason A. Hall, Jason A. Hall, Rebecca B. Blank, Nicolas Bouladoux, Mohamed Oukka, J. Rodrigo Mora, Yasmine Belkaid","Small intestine lamina propria dendritic cells promote de novo generation of Foxp3 T reg cells via retinoic acid",2007,"Journal of Experimental Medicine","The Rockefeller University Press","http://europepmc.org/articles/PMC2118682","",3,"2020-05-13 17:15:34","Journal article","10.1084/JEM.20070602","","",204,8,1775,1785,1891,145.46,236,8,13,"To maintain immune homeostasis, the intestinal immune system has evolved redundant regulatory strategies. In this regard, the gut is home to a large number of regulatory T (T reg) cells, including the Foxp3+ T reg cell. Therefore, we hypothesized that the gut environment preferentially supports extrathymic T reg cell development. We show that peripheral conversion of CD4+ T cells to T reg cells occurs primarily in gut-associated lymphoid tissue (GALT) after oral exposure to antigen and in a lymphopenic environment. Dendritic cells (DCs) purified from the lamina propria (Lp; LpDCs) of the small intestine were found to promote a high level of T reg cell conversion relative to lymphoid organ–derived DCs. This enhanced conversion by LpDCs was dependent on TGF-β and retinoic acid (RA), which is a vitamin A metabolite highly expressed in GALT. Together, these data demonstrate that the intestinal immune system has evolved a self-contained strategy to promote T reg cell neoconversion."
1738,"Yasmine Belkaid, Timothy W. Hand","Role of the Microbiota in Immunity and Inflammation",2014,"Cell","NIH Public Access","http://europepmc.org/article/MED/24679531","",4,"2020-05-13 17:15:34","Journal article","10.1016/J.CELL.2014.03.011","","",157,1,121,141,1738,289.67,869,2,6,"The microbiota plays a fundamental role on the induction, training, and function of the host immune system. In return, the immune system has largely evolved as a means to maintain the symbiotic relationship of the host with these highly diverse and evolving microbes. When operating optimally, this immune system-microbiota alliance allows the induction of protective responses to pathogens and the maintenance of regulatory pathways involved in the maintenance of tolerance to innocuous antigens. However, in high-income countries, overuse of antibiotics, changes in diet, and elimination of constitutive partners, such as nematodes, may have selected for a microbiota that lack the resilience and diversity required to establish balanced immune responses. This phenomenon is proposed to account for some of the dramatic rise in autoimmune and inflammatory disorders in parts of the world where our symbiotic relationship with the microbiota has been the most affected."
1212,"Angela M. Thornton, Patricia E. Korty, Dat Q. Tran, Elizabeth A. Wohlfert, Patrick E. Murray, Yasmine Belkaid, Ethan M. Shevach","Expression of Helios, an Ikaros Transcription Factor Family Member, Differentiates Thymic-Derived from Peripherally Induced Foxp3+ T Regulatory Cells",2010,"Journal of Immunology","American Association of Immunologists","http://europepmc.org/articles/PMC3725574/","",5,"2020-05-13 17:15:34","Journal article","10.4049/JIMMUNOL.0904028","","",184,7,3433,3441,1212,121.20,173,7,10,"Helios, a member of the Ikaros transcription factor family, is preferentially expressed at the mRNA level by regulatory T cells (Treg cells). We evaluated Helios protein expression using a newly generated mAb and demonstrated that it is expressed in all thymocytes at the double negative 2 stage of thymic development. Although Helios was expressed by 100% of CD4+CD8−Foxp3+ thymocytes, its expression in peripheral lymphoid tissues was restricted to a subpopulation (∼70%) of Foxp3+ T cells in mice and humans. Neither mouse nor human naive T cells induced to express Foxp3 in vitro by TCR stimulation in the presence of TGF-β expressed Helios. Ag-specific Foxp3+ T cells induced in vivo by Ag feeding also failed to express Helios. Collectively, these results demonstrate that Helios is potentially a specific marker of thymic-derived Treg cells and raises the possibility that a significant percentage of Foxp3+ Treg cells are generated extrathymically."
1205,"Kamran Ghoreschi, Arian Laurence, Xiang-Ping Yang, Cristina M. Tato, Mandy J. McGeachy, Joanne E. Konkel, Haydeé L. Ramos, Lai Wei, Todd S. Davidson, Nicolas Bouladoux, John R. Grainger, Qian Chen, Yuka Kanno, Wendy T. Watford, Hong-Wei Sun, Gérard Eberl, Ethan M. Shevach, Yasmine Belkaid, Daniel J. Cua, WanJun Chen, John J. O’Shea","Generation of pathogenic T(H)17 cells in the absence of TGF-β signalling.",2010,"Nature","Nature Publishing Group","http://europepmc.org/articles/PMC3108066/","",6,"2020-05-13 17:15:34","Journal article","10.1038/NATURE09447","","",467,7318,967,971,1205,120.50,121,21,10,"T-helper 17 (TH17) cells are a subset of T-helper cells that produce interleukin (IL)-17 and are critical for host immunity. IL-6 and transforming growth factor-β (TGF-β) had been thought of as the principal inducers of TH17 differentiation, but this work provides further support for an alternative TGF-β-independent pathway of TH17 cell differentiation in mice. TH17 cells can be generated in the absence of TGF-β signalling by using IL-23 in combination with IL-6 and IL-1β. The resulting TH17 cells express not only RORγ-t, but also T-bet, and are more pathogenic than TH17 cells generated in the presence of TGF-β. These TH17 cells, generated independently of TGF-β, could be potential targets for the treatment of autoimmune disease. CD4+ T cells that selectively produce interleukin (IL)-17 (TH17 cells) are essential for host defence and autoimmunity. It has been thought that IL-6 and transforming growth factor (TGF)-β1 are the factors responsible for initiating the specification of TH17 cells. Here, however, it is shown that TH17 differentiation can occur in the absence of TGF-β signalling. IL-6, IL-23 and IL-1β effectively induced IL-17 production in naive precursors. These data reveal an alternative mode for TH17 differentiation and the importance of IL-23. CD4+ T-helper cells that selectively produce interleukin (IL)-17 (TH17), are critical for host defence and autoimmunity1,2,3,4. Although crucial for TH17 cells in vivo5,6, IL-23 has been thought to be incapable of driving initial differentiation. Rather, IL-6 and transforming growth factor (TGF)-β1 have been proposed to be the factors responsible for initiating specification7,8,9,10. Here we show that TH17 differentiation can occur in the absence of TGF-β signalling. Neither IL-6 nor IL-23 alone efficiently generated TH17 cells; however, these cytokines in combination with IL-1β effectively induced IL-17 production in naive precursors, independently of TGF-β. Epigenetic modification of the Il17a, Il17f and Rorc promoters proceeded without TGF-β1, allowing the generation of cells that co-expressed RORγt (encoded by Rorc) and T-bet. T-bet+RORγt+ TH17 cells are generated in vivo during experimental allergic encephalomyelitis, and adoptively transferred TH17 cells generated with IL-23 without TGF-β1 were pathogenic in this disease model. These data indicate an alternative mode for TH17 differentiation. Consistent with genetic data linking IL23R with autoimmunity, our findings re-emphasize the importance of IL-23 and therefore may have therapeutic implications."
1264,"Yasmine Belkaid, Yasmine Belkaid, Barry T Rouse","Natural regulatory T cells in infectious disease",2005,"Nature Immunology","Nature Publishing Group","http://www.nature.com/articles/ni1181","",7,"2020-05-13 17:15:34","Journal article","10.1038/NI1181","","",6,4,353,360,1264,84.27,421,3,15,"This review discusses the control exerted by natural CD4+ CD25+ regulatory T cells (natural Treg cells) during infectious processes. Natural Treg cells may limit the magnitude of effector responses, which may result in failure to adequately control infection. However, natural Treg cells also help limit collateral tissue damage caused by vigorous antimicrobial immune responses. We describe here various situations in which the balance between natural Treg cells and effector immune functions influences the outcome of infection and discuss how manipulating this equilibrium might be exploited therapeutically."
1264,"Kamran Ghoreschi, Arian Laurence, Xiang-Ping Yang, Cristina M Tato, Mandy J McGeachy, Joanne E Konkel, Hayde L Ramos, Lai Wei, Todd S Davidson, Nicolas Bouladoux, John R Grainger, Qian Chen, Yuka Kanno, Wendy T Watford, Hong-Wei Sun, Grard Eberl, Ethan M Shevach, Yasmine Belkaid, Daniel J Cua, Wanjun Chen, John J O'Shea","Generation of pathogenic T(H)17 cells in the absence of TGF-? signalling.",2010,"Nature","","https://www.escholar.manchester.ac.uk/uk-ac-man-scw:238307","",8,"2020-05-13 17:15:34","Journal article","10.1038/NATURE09447","","",,,,,1264,126.40,126,21,10,"CD4(+) T-helper cells that selectively produce interleukin (IL)-17 (T(H)17), are critical for host defence and autoimmunity. Although crucial for T(H)17 cells in vivo, IL-23 has been thought to be incapable of driving initial differentiation. Rather, IL-6 and transforming growth factor (TGF)-?1 have been proposed to be the factors responsible for initiating specification. Here we show that T(H)17 differentiation can occur in the absence of TGF-? signalling. Neither IL-6 nor IL-23 alone efficiently generated T(H)17 cells; however, these cytokines in combination with IL-1? effectively induced IL-17 production in naive precursors, independently of TGF-?. Epigenetic modification of the Il17a, Il17f and Rorc promoters proceeded without TGF-?1, allowing the generation of cells that co-expressed ROR?t (encoded by Rorc) and T-bet. T-bet(+)ROR?t(+) T(H)17 cells are generated in vivo during experimental allergic encephalomyelitis, and adoptively transferred T(H)17 cells generated with IL-23 without TGF-?1 were pathogenic in this disease model. These data indicate an alternative mode for T(H)17 differentiation. Consistent with genetic data linking IL23R with autoimmunity, our findings re-emphasize the importance of IL-23 and therefore may have therapeutic implications."
932,"Noriho Iida, Amiran Dzutsev, C. Andrew Stewart, Loretta Smith, Nicolas Bouladoux, Rebecca A. Weingarten, Daniel A. Molina, Rosalba Salcedo, Timothy Back, Sarah Cramer, Ren-Ming Dai, Hiu Kiu, Marco Cardone, Shruti Naik, Anil K. Patri, Ena Wang, Francesco M. Marincola, Francesco M. Marincola, Karen M. Frank, Yasmine Belkaid, Giorgio Trinchieri, Romina S. Goldszmid","Commensal Bacteria Control Cancer Response to Therapy by Modulating the Tumor Microenvironment",2013,"Science","American Association for the Advancement of Science","http://pubmed.cn/24264989","",9,"2020-05-13 17:15:34","Journal article","10.1126/SCIENCE.1240527","","",342,6161,967,970,932,133.14,93,22,7,"The gut microbiota influences both local and systemic inflammation. Inflammation contributes to development, progression, and treatment of cancer, but it remains unclear whether commensal bacteria affect inflammation in the sterile tumor microenvironment. Here, we show that disruption of the microbiota impairs the response of subcutaneous tumors to CpG-oligonucleotide immunotherapy and platinum chemotherapy. In antibiotics-treated or germ-free mice, tumor-infiltrating myeloid-derived cells responded poorly to therapy, resulting in lower cytokine production and tumor necrosis after CpG-oligonucleotide treatment and deficient production of reactive oxygen species and cytotoxicity after chemotherapy. Thus, optimal responses to cancer therapy require an intact commensal microbiota that mediates its effects by modulating myeloid-derived cell functions in the tumor microenvironment. These findings underscore the importance of the microbiota in the outcome of disease treatment."
939,"Yasmine Belkaid","Regulatory T cells and infection: a dangerous necessity",2007,"Nature Reviews Immunology","Nature Publishing Group","https://www.nature.com/articles/nri2189","",10,"2020-05-13 17:15:34","Journal article","10.1038/NRI2189","","",7,11,875,888,939,72.23,939,1,13,"To survive a given infection, a host needs to mount a controlled immune response. Regulatory T cells are important components of the regulatory network, which benefit the host by limiting immunopathology but may also be detrimental to the host by favouring pathogen survival."
